Station_ID	Site	Lives	Markets	Spat	SBox	DBox	NBox	OBox	z.Lives	z.Markets	z.Spat	z.SBox	z.DBox	z.NBox	z.OBox	p.Lives	p.Markets	p.Spat	p.SBox	p.DBox	p.NBox	p.OBox
392	Shipley's Edge	-0.469777517	-0.028577106	1.297907219	0.701707451	0	-0.079216821	-0.732699342	-0.280045581	-0.032584139	0.914511867	1.761814098	NaN	-0.242640596	-0.874494228	0.779	0.974	0.36	0.078	NaN	0.808	0.382
393	Thompsons	-0.004524188	-0.193187793	0.425284905	-0.070997333	0	-0.019804205	-0.435369828	-0.004135712	-0.437198414	0.386833156	-0.293358459	NaN	-0.169030851	-0.59243824	0.997	0.662	0.699	0.769	NaN	0.866	0.554
394	Docs View	-0.274691549	-0.116981273	0.074848243	-0.051193128	0	0	-0.102386255	-0.36245286	-0.32974281	0.08663129	-0.236308171	NaN	NaN	-0.344230509	0.717	0.742	0.931	0.813	NaN	NaN	0.731
395	Fishing Point	-0.726432708	-0.196627209	-0.566953716	-0.318624764	0	-0.268452661	0.021736436	-0.373626502	-0.150152104	-0.278907559	-0.408013039	NaN	-0.441895557	0.022681227	0.709	0.881	0.78	0.683	NaN	0.659	0.982
407	Hilly Wash	-1.950103574	-2.46770868	-0.017018716	-0.161090782	0	-0.412555322	0.09293229	-1.415239176	-1.887322353	-0.013229829	-0.305597512	NaN	-0.677571561	0.100165235	0.157	0.059	0.989	0.76	NaN	0.498	0.92
409	Harcum Flats	-0.23127774	-0.252598779	0.095751401	-0.528370252	0	-0.241015691	1.216988039	-0.161099018	-0.277762453	0.074072302	-1.021605859	NaN	-0.545929466	1.684182073	0.872	0.781	0.941	0.307	NaN	0.585	0.092
410	Upper Brown Shoal	-0.033821524	0.0750472	-0.637297041	-0.040238899	-0.139715107	-0.430710362	0.001292131	-0.03012456	0.071226278	-0.602599229	-0.064727491	-0.321014864	-0.669935903	0.001874575	0.976	0.943	0.547	0.948	0.748	0.503	0.999
411	Lower Brown Shoal	0.543088466	0.358276784	0.248804073	-0.0774077	-0.141574012	0.403850354	-0.06820605	0.363121243	0.345226064	0.14534229	-0.109819014	-0.375717586	0.696963498	-0.077551817	0.717	0.73	0.884	0.913	0.707	0.486	0.938
412	Brown's Bay 1	0.443461622	0.153077872	1.079307221	0.180734312	0.011624073	-0.006616642	0.075407142	0.328188153	0.190649294	0.956488913	0.4537478	0.049930151	-0.026074766	0.197248468	0.743	0.849	0.339	0.65	0.96	0.979	0.844
413	Nansemond Ridge 2017 Shell Plant	1.723992751	0.962652093	-0.044687178	-0.78383574	-0.049510513	0.45400769	0.590403583	0.856707456	1.640556562	-0.016873032	-0.75212328	-0.267261242	Inf	2.010798488	0.392	0.101	0.987	0.452	0.789	0	0.044
414	Brown's Bay #1-2017	0.292701678	1.060286361	1.108791221	0.427961753	-0.049510513	0.049510513	0.623406116	0.206790651	1.044153285	0.754418571	Inf	-0.267261242	0.267261242	0.884234053	0.836	0.296	0.451	0	0.789	0.789	0.377
415	Beverly's 4	0.586313982	-0.274705943	1.906995183	0.444787901	0.297063077	-0.028961793	0.709671489	0.464087981	-0.333296287	1.355417256	1.000073704	1.180193689	-0.086477938	0.885348526	0.643	0.739	0.175	0.317	0.238	0.931	0.376
416	Deep Rock 4	0.455979673	0.330265238	1.891693135	0.160446537	-0.001673433	-0.046209812	0.780024184	0.309624788	0.472133725	1.366267929	0.207226634	-0.003164992	-0.25819889	1.435314814	0.757	0.637	0.172	0.836	0.997	0.796	0.151
417	Ginney Point Stone Plant (2018)	2.363517639	0	3.021109218	1.262464002	0	0.274653072	0.074265769	Inf	NaN	7.275636506	Inf	NaN	Inf	0.283473355	0	NaN	0	0	NaN	0	0.777
1001	#1 Spike B Offshore	-1.393427833	-0.183430796	-0.389106186	-0.595552403	-0.176393889	-0.232796204	-0.762239407	-1.426249986	-0.182579922	-0.286440565	-0.864771451	-0.417425374	-0.601831424	-0.989655382	0.154	0.855	0.775	0.387	0.676	0.547	0.322
1002	#2 Spike A	0.485546102	0.877221138	1.806561062	0.043043954	-0.038508177	-0.306617747	0.886824795	0.437959227	1.178436355	1.311152288	0.073787377	-0.239143351	-0.664377051	1.214183546	0.661	0.239	0.19	0.941	0.811	0.506	0.225
1003	#3 Spike	0.830993993	0.412380335	1.548541018	-0.409008989	-0.019804205	-0.381166399	-0.289792042	0.90854142	0.598502517	1.080426301	-0.416970997	-0.169030851	-0.677977627	-0.425645133	0.364	0.55	0.28	0.677	0.866	0.498	0.67
1004	#4 Lower Edge East	0.104443206	0.494281605	1.15274708	-0.20885413	0.047827898	-0.036243181	-0.057320655	0.113831236	0.600572683	0.75259063	-0.26538806	0.220774225	-0.080106044	-0.083064389	0.909	0.548	0.452	0.791	0.825	0.936	0.934
